Time (Sec),Power(W),Growth Rate (gm/sec),No. of net impurity atoms added,Number of net impurity of previous crystal added,Output net impurity,Detector grade portion (%),SheetName
26064.0,10180.0,4.07842234,45394736842105.0,1372180000000000.0,-8855287537663.92,2.42,Crystal 8
27504.0,10580.0,0.98894706,45394736842105.0,1372180000000000.0,-17709063687440.8,2.42,Crystal 8
28080.0,10740.0,0.67663818,45394736842105.0,1372180000000000.0,-56106566391185.4,2.42,Crystal 8
0.0,8760.0,0.0,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
450.0,8760.0,0.03777778,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
810.0,8760.0,0.05679012,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
1350.0,8760.0,0.03037037,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
2880.0,8740.0,0.01354167,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
3600.0,8720.0,0.01583333,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
4320.0,8700.0,0.01736111,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
5040.0,8680.0,0.025,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
5760.0,8660.0,0.03454861,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
6480.0,8640.0,0.06111111,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
7200.0,8620.0,0.07944444,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
7920.0,8600.0,0.12234848,79736842105263.0,-286752631578947.0,0.0,1.47,Crystal 9
